,Unique_Id,Location,Property_Type,Address,Rent,Price,Base,Number_Of_Bedroom,Number_Of_Bathroom,Description,Link,Run_Time
55,3|6|2025-05-17|23:08:28.786886,Islington,Flat,"Dingley Road, Old Street, London, EC1V","£4,950 pcm",4950,pcm,2,2,"SHORT LET. This smart one bedroom flat offers ample bright living space with a modern kitchen and stylish bathroom and a great location close to the amenities of Old Street, Upper Street and the City.",https://www.rightmove.co.uk/properties/162059924#/?channel=RES_LET,2025-05-17 23:08:28.786886
56,3|7|2025-05-17|23:08:28.786886,Islington,Flat,"Central Street, Clerkenwell, London, EC1V","£3,500 pcm",3500,pcm,2,2,"Lovely two bed flat in this fantastic portered block a short walk from Old street, Angel and Farringdon Tube Stations as well as all their shops and amenities",https://www.rightmove.co.uk/properties/162059501#/?channel=RES_LET,2025-05-17 23:08:28.786886
57,3|8|2025-05-17|23:08:28.786886,Islington,Apartment,"Lawrence House, City Road, Clerkenwell, London, EC1V","£3,895 pcm",3895,pcm,2,2,"This modern two-bedroom apartment offers great storage space, natural light, and excellent transportation links. Located in Lawrence House, the property features a gym, concierge, and lift access.",https://www.rightmove.co.uk/properties/162059420#/?channel=RES_LET,2025-05-17 23:08:28.786886
58,3|9|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, City, London, EC1V","£3,532 pcm",3532,pcm,2,2,"LONG LET. A 2 bedroom penthouse apartment within a highly sought-after development featuring concierge, lift access, private roof terrace, expansive balcony and stylish accommodation across 3 floors.",https://www.rightmove.co.uk/properties/159442382#/?channel=RES_LET,2025-05-17 23:08:28.786886
59,3|10|2025-05-17|23:08:28.786886,Islington,Flat,"Dingley Road, Islington, London, EC1V","£3,749 pcm",3749,pcm,2,2,"LONG LET. Situated within a luxurious development with porter, close to the City, this 2 bedroom apartment boasts contemporary interiors, wood flooring and a roof terrace.",https://www.rightmove.co.uk/properties/161364080#/?channel=RES_LET,2025-05-17 23:08:28.786886
60,3|11|2025-05-17|23:08:28.786886,Islington,Apartment,"Lawrence House, City Road, Clerkenwell, London, EC1V","£3,600 pcm",3600,pcm,2,2,"A stunning two double bedroom two bathroom apartment with terrace, within this sought after building with concierge and communal gym conveniently located close to Old Street and Angel Stations.",https://www.rightmove.co.uk/properties/162058982#/?channel=RES_LET,2025-05-17 23:08:28.786886
61,3|12|2025-05-17|23:08:28.786886,Islington,Flat,"Pewter Court, 8 Sterling Way, London, N7","£2,816 pcm",2816,pcm,1,1,"One bedroom apartment to rent in London Square Caledonian Road, N7 We are delighted to offer this modern one bedroom apartment in the sought after London Square development. The flat comprises a large open plan living area, double bedroom with built in wardrobes, modern bathroom, fully fitted ...",https://www.rightmove.co.uk/properties/162058886#/?channel=RES_LET,2025-05-17 23:08:28.786886
62,3|13|2025-05-17|23:08:28.786886,Islington,Apartment,"Lawrence House, City Road, Clerkenwell, London, EC1V","£2,500 pcm",2500,pcm,1,1,"Tastefully furnished one bed apartment in Lawrence House, Clerkenwell. Enjoy on-site concierge, lift access, and the convenience of nearby amenities and Old Street Tube Station.",https://www.rightmove.co.uk/properties/162058454#/?channel=RES_LET,2025-05-17 23:08:28.786886
63,3|14|2025-05-17|23:08:28.786886,Islington,Apartment,"Lawrence House, City Road, Clerkenwell, London, EC1V","£3,500 pcm",3500,pcm,2,2,A spectacular two double bedroom two bathroom apartment in this sought after building with concierge and communal gym close to Old Street and Angel Stations. This modern and spacious property benefits from two generously sized bedrooms with great storage space and an abundance of natural light,https://www.rightmove.co.uk/properties/162058373#/?channel=RES_LET,2025-05-17 23:08:28.786886
64,3|15|2025-05-17|23:08:28.786886,Islington,Flat,"Northpoint House, 
400 Essex Road, N1","£2,250 pcm",2250,pcm,1,1,Beautifully presented one double bedroom apartment situated on the fourth floor within this popular purpose built development.,https://www.rightmove.co.uk/properties/162058070#/?channel=RES_LET,2025-05-17 23:08:28.786886
65,3|16|2025-05-17|23:08:28.786886,Islington,Apartment,"City Road, London, Greater London, EC1V","£3,540 pcm",3540,pcm,2,2,"Explore city living at its finest with this exquisite two bedroom, two bathroom penthouse apartment, situated in the heart of City Road, London.",https://www.rightmove.co.uk/properties/162057839#/?channel=RES_LET,2025-05-17 23:08:28.786886
66,3|17|2025-05-17|23:08:28.786886,Islington,Flat,"Holloway Road, London, N7","£1,950 pcm",1950,pcm,1,1,"Discover refined living in this stunning one-bedroom period conversion flat on bustling Holloway Road. Newly refurbished to a very high standard, this ground floor residence is extremely spacious and presents an exceptional opportunity for a convenient and vibrant lifestyle in the heart of London.",https://www.rightmove.co.uk/properties/162056516#/?channel=RES_LET,2025-05-17 23:08:28.786886
67,3|18|2025-05-17|23:08:28.786886,Islington,Flat,"Highgate Hill, London, N19","£2,200 pcm",2200,pcm,1,1,3 minutes from Archway Station - Residents' Lounge - Residents' App - Co-working space - Front Desk - Community Events.,https://www.rightmove.co.uk/properties/162056405#/?channel=RES_LET,2025-05-17 23:08:28.786886
68,3|19|2025-05-17|23:08:28.786886,Islington,Flat,"Highgate Hill, London, N19","£2,250 pcm",2250,pcm,,1,Quick access to Central London - Co-working space - Fully Furnished - Residents' Terrace - Residents' App,https://www.rightmove.co.uk/properties/162056291#/?channel=RES_LET,2025-05-17 23:08:28.786886
69,3|20|2025-05-17|23:08:28.786886,Islington,Apartment,"Junction Road, London, N19","£2,725 pcm",2725,pcm,1,1,"This pet-friendly 1 bed apartment benefits from access to roof terraces, an on-site gym, a work-from-home space and 24/7 resident services team. Located right above Archway station, Vantage Point has fast connections to the rest of London.",https://www.rightmove.co.uk/properties/162056273#/?channel=RES_LET,2025-05-17 23:08:28.786886
70,3|21|2025-05-17|23:08:28.786886,Islington,Flat,"Highgate Hill, London, N19","£2,300 pcm",2300,pcm,1,1,3 minutes from Archway Station - Residents' Lounge - Residents' App - Co-working space - Front Desk - Community Events.,https://www.rightmove.co.uk/properties/162056207#/?channel=RES_LET,2025-05-17 23:08:28.786886
